iter	Passed	Remaining
0	2	221
1	3	194
2	5	179
3	6	163
4	8	155
5	9	148
6	10	144
7	12	140
8	13	137
9	16	144
10	17	139
11	18	133
12	19	128
13	20	124
14	21	121
15	22	118
16	23	116
17	24	112
18	25	108
19	26	105
20	27	102
21	28	100
22	29	98
23	30	96
24	31	94
25	32	92
26	33	90
27	34	89
28	36	88
29	37	86
30	38	84
31	38	82
32	39	80
33	40	79
34	41	77
35	42	75
36	43	73
37	45	73
38	46	72
39	47	71
40	48	69
41	48	67
42	49	66
43	50	64
44	51	62
45	52	61
46	53	59
47	53	58
48	54	56
49	55	55
50	56	53
51	56	52
52	58	51
53	59	51
54	60	49
55	61	48
56	62	47
57	63	46
58	64	44
59	65	43
60	65	42
61	67	41
62	68	40
63	69	38
64	69	37
65	70	36
66	71	35
67	72	33
68	72	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	78	26
75	79	25
76	80	24
77	81	22
78	82	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	86	15
85	87	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	98	2
98	99	1
99	100	0
